sigma,label
31.11,0
35.875,0
30.866,0
36.122,0
29.995,0
35.913,0
28.476,0
34.815,0
32.992,0
25.695,0
33.963,0
31.954,0
35.011,0
34.457,0
36.897,0
32.714,0
30.057,0
29.166,0
28.045,0
29.733,0
34.37,0
31.996,0
36.745,0
33.885,0
31.41,0
35.011,0
32.823,0
30.485,0
32.468,0
30.385,0
29.712,0
35.407,0
27.924,0
30.756,0
24.708,0
35.822,0
32.131,0
31.992,0
34.635,0
31.967,0
28.755,0
22.81,0
33.265,0
35.218,0
31.46,0
34.23,0
34.891,0
34.469,0
31.383,0
34.733,0
33.039,0
33.845,0
25.914,0
28.061,0
31.841,0
31.295,0
35.453,0
36.304,0
27.337,0
28.549,0
35.213,0
26.92,0
28.283,0
32.11,0
33.431,0
32.567,0
30.401,0
32.777,0
31.167,0
26.003,0
31.444,0
22.543,0
29.437,0
35.161,0
29.327,0
33.076,0
36.261,0
28.498,0
36.49,0
36.876,0
25.162,0
34.183,0
33.855,0
21.061,0
34.784,0
35.398,0
24.457,0
35.527,0
26.933,0
36.06,0
32.311,0
33.32,0
28.081,0
33.218,0
32.689,0
35.897,0
35.506,0
32.366,0
29.007,0
27.646,0
31.13,0
24.537,0
33.941,0
35.315,0
35.891,0
30.354,0
28.6,0
35.624,0
32.159,0
33.416,0
36.319,0
33.261,0
25.572,0
34.248,0
34.201,0
33.078,0
31.617,0
36.745,0
27.29,0
27.716,0
35.95,0
36.414,0
33.88,0
32.363,0
20.163,0
33.955,0
27.53,0
25.697,0
25.053,0
30.396,0
35.196,0
34.624,0
21.006,0
33.932,0
31.745,0
32.632,0
29.31,0
35.712,0
32.596,0
32.367,0
33.217,0
30.3,0
25.086,0
22.35,0
36.642,0
36.35,0
29.854,0
36.777,0
28.66,0
27.407,0
32.233,0
33.446,0
24.568,0
22.734,0
33.299,0
22.16,0
36.567,0
32.204,0
30.574,0
33.788,0
35.764,0
25.499,0
36.53,0
28.485,0
32.021,0
31.784,0
33.807,0
33.441,0
29.408,0
28.43,0
31.603,0
28.144,0
32.702,0
28.531,0
26.674,0
30.95,0
26.916,0
34.189,0
35.854,0
27.122,0
20.62,0
35.174,0
29.359,0
25.694,0
36.738,0
33.638,0
34.296,0
34.991,0
32.184,0
27.201,0
33.432,0
34.197,0
31.24,0
34.813,0
28.173,0
30.657,0
22.934,0
34.252,0
31.007,0
36.657,0
29.58,0
36.859,0
36.888,0
32.786,0
29.371,0
33.913,0
25.508,0
32.332,0
27.128,0
31.772,0
22.324,0
30.437,0
24.862,0
35.856,0
36.622,0
31.809,0
35.862,0
33.481,0
22.617,0
30.917,0
35.303,0
34.589,0
32.461,0
35.49,0
30.431,0
34.714,0
29.202,0
30.819,0
25.82,0
32.354,0
34.579,0
32.596,0
26.739,0
36.356,0
32.858,0
26.111,0
24.885,0
35.814,0
18.789,0
36.786,0
31.724,0
24.546,0
33.721,0
21.645,0
34.403,0
18.936,0
33.705,0
30.99,0
28.698,0
21.523,0
30.566,0
26.073,0
28.838,0
27.02,0
36.737,0
29.845,0
23.922,0
34.993,0
35.01,0
35.105,0
28.412,0
26.259,0
35.981,0
32.731,0
32.188,0
23.352,0
33.894,0
32.419,0
36.25,0
36.408,0
26.722,0
34.18,0
30.746,0
33.636,0
36.561,0
36.955,0
34.249,0
32.543,0
32.188,0
29.285,0
30.131,0
36.6,0
36.069,0
36.477,0
30.564,0
36.621,0
34.844,0
28.415,0
29.169,0
33.496,0
19.039,0
18.448,0
32.733,0
16.814,0
34.395,0
33.51,0
34.991,0
33.713,0
33.72,0
36.021,0
33.926,0
32.756,0
28.672,0
35.502,0
25.968,0
32.388,0
17.116,0
34.753,0
31.233,0
35.371,0
28.275,0
36.122,0
35.246,0
32.609,0
36.203,0
31.711,0
25.078,0
33.264,0
22.736,0
30.881,0
34.735,0
24.327,0
36.386,0
33.507,0
33.276,0
30.296,0
31.731,0
36.149,0
32.327,0
33.326,0
27.007,0
35.957,0
35.844,0
18.939,0
30.856,0
30.196,0
32.35,0
35.882,0
34.505,0
33.857,0
36.048,0
29.994,0
30.341,0
35.558,0
35.945,0
32.956,0
29.559,0
31.337,0
36.168,0
36.262,0
24.082,0
33.401,0
30.334,0
36.85,0
36.942,0
36.471,0
34.686,0
33.071,0
34.21,0
26.365,0
35.926,0
33.154,0
34.96,0
33.563,0
31.507,0
26.105,0
34.86,0
27.603,0
35.389,0
35.849,0
33.052,0
34.17,0
28.541,0
36.086,0
32.764,0
34.98,0
34.465,0
34.735,0
33.929,0
35.189,0
29.325,0
36.73,0
26.041,0
36.062,0
32.157,0
33.515,0
35.566,0
35.325,0
36.703,0
34.148,0
29.466,0
36.115,0
35.041,0
29.137,0
27.757,0
17.082,0
36.293,0
36.492,0
35.113,0
34.511,0
36.483,0
36.176,0
32.701,0
36.768,0
33.62,0
29.312,0
33.664,0
31.399,0
29.902,0
33.734,0
32.82,0
31.644,0
34.081,0
36.26,0
32.277,0
35.349,0
35.049,0
24.033,0
36.169,0
33.319,0
36.005,0
30.845,0
30.518,0
35.809,0
35.545,0
30.438,0
35.359,0
32.469,0
30.908,0
34.563,0
28.243,0
26.578,0
30.858,0
30.004,0
34.466,0
35.489,0
32.889,0
24.926,0
33.301,0
33.213,0
31.386,0
31.572,0
30.872,0
33.73,0
33.802,0
26.41,0
28.805,0
30.632,0
26.773,0
36.55,0
35.82,0
29.542,0
36.001,0
26.89,0
23.507,0
36.784,0
33.684,0
33.764,0
35.827,0
27.271,0
30.44,0
33.275,0
25.752,0
32.659,0
33.874,0
27.701,0
36.941,0
28.038,0
30.221,0
35.515,0
24.32,0
29.31,0
35.23,0
27.521,0
28.134,0
10.339,0
27.706,0
34.889,0
22.117,0
34.576,0
32.823,0
31.705,0
25.723,0
36.737,0
33.26,0
36.75,0
26.975,0
33.16,0
30.794,0
34.113,0
36.377,0
33.855,0
33.458,0
30.894,0
30.288,0
36.118,0
30.225,0
20.981,0
36.126,0
36.584,0
33.831,0
35.139,0
33.794,0
31.799,0
36.226,0
34.411,0
25.933,0
31.225,0
33.44,0
31.125,0
16.72,0
35.36,0
30.661,0
33.373,0
28.503,0
36.692,0
34.059,0
35.939,0
33.877,0
35.469,0
30.317,0
36.792,0
31.158,0
30.553,0
29.215,0
36.326,0
36.169,0
34.071,0
21.245,0
35.993,0
25.841,0
35.651,0
29.832,0
24.48,0
32.843,0
32.594,0
33.955,0
32.422,0
32.025,0
32.669,0
22.44,0
29.778,0
28.069,0
35.831,0
29.009,0
29.004,0
31.095,0
31.54,0
36.896,0
31.273,0
32.471,0
35.463,0
35.682,0
28.926,0
36.535,0
27.663,0
33.423,0
35.021,0
33.034,0
31.435,0
36.622,0
32.984,0
34.232,0
36.727,0
30.911,0
36.454,0
34.66,0
30.265,0
32.093,0
28.39,0
31.303,0
29.901,0
33.946,0
24.777,0
35.092,0
33.384,0
29.089,0
24.642,0
35.182,0
24.98,0
35.061,0
34.648,0
35.766,0
29.002,0
29.535,0
36.215,0
30.921,0
32.177,0
36.664,0
33.694,0
34.255,0
31.002,0
36.857,0
32.165,0
22.867,0
29.827,0
29.305,0
33.574,0
30.334,0
28.677,0
32.184,0
31.361,0
25.946,0
35.804,0
36.061,0
34.698,0
34.008,0
33.953,0
34.622,0
33.488,0
30.325,0
35.086,0
18.125,0
33.667,0
32.037,0
28.26,0
35.188,0
30.294,0
35.374,0
32.468,0
36.461,0
32.354,0
26.911,0
33.474,0
35.784,0
32.553,0
36.55,0
36.706,0
34.904,0
27.518,0
31.395,0
32.51,0
35.26,0
36.257,0
33.122,0
32.12,0
35.919,0
30.892,0
33.395,0
35.966,0
32.991,0
30.63,0
33.712,0
34.793,0
34.664,0
30.098,0
32.899,0
36.561,0
36.784,0
36.702,0
31.952,0
33.234,0
31.902,0
33.354,0
23.639,0
30.842,0
30.478,0
35.701,0
16.087,0
36.656,0
34.111,0
36.744,0
28.519,0
33.806,0
31.572,0
28.929,0
36.591,0
28.824,0
35.317,0
27.345,0
31.667,0
29.948,0
31.545,0
35.278,0
29.052,0
28.047,0
36.231,0
36.644,0
30.951,0
30.033,0
34.975,0
36.307,0
34.259,0
31.853,0
36.412,0
35.374,0
33.473,0
33.38,0
31.268,0
30.546,0
36.849,0
33.627,0
20.462,0
29.584,0
28.207,0
29.962,0
32.166,0
16.238,0
34.425,0
33.094,0
29.726,0
30.605,0
34.96,0
31.226,0
29.557,0
28.122,0
28.868,0
26.665,0
30.985,0
32.995,0
34.606,0
35.228,0
35.588,0
24.836,0
33.171,0
34.899,0
30.866,0
25.136,0
32.731,0
25.304,0
34.337,0
32.83,0
36.85,0
28.18,0
34.614,0
22.083,0
32.231,0
31.39,0
33.842,0
25.046,0
34.449,0
32.951,0
29.59,0
36.129,0
26.439,0
34.382,0
28.349,0
35.533,0
35.584,0
34.642,0
27.611,0
27.205,0
36.66,0
26.242,0
34.109,0
24.243,0
30.868,0
27.878,0
34.658,0
32.407,0
36.635,0
34.588,0
36.103,0
36.78,0
32.25,0
35.467,0
36.892,0
35.901,0
35.552,0
29.434,0
30.602,0
30.269,0
36.013,0
27.072,0
34.924,0
36.023,0
34.436,0
24.578,0
32.264,0
33.765,0
36.337,0
35.486,0
33.94,0
33.758,0
34.532,0
27.754,0
33.665,0
32.229,0
33.932,0
25.554,0
30.725,0
34.413,0
35.181,0
34.858,0
33.806,0
32.547,0
36.224,0
27.315,0
34.935,0
33.429,0
29.611,0
35.5,0
36.717,0
24.184,0
34.613,0
35.8,0
35.062,0
27.681,0
35.449,0
33.848,0
33.692,0
34.173,0
27.142,0
24.542,0
35.595,0
31.693,0
36.528,0
29.573,0
33.773,0
30.13,0
34.775,0
35.207,0
33.218,0
35.135,0
27.004,0
31.823,0
30.189,0
31.357,0
36.003,0
34.998,0
35.385,0
31.914,0
33.481,0
35.062,0
33.625,0
24.229,0
35.208,0
26.73,0
33.943,0
36.92,0
31.45,0
32.474,0
31.519,0
23.744,0
34.782,0
30.195,0
32.991,0
34.725,0
36.615,0
36.582,0
27.492,0
22.443,0
32.3,0
31.065,0
29.421,0
23.968,0
36.031,0
33.512,0
33.66,0
29.144,0
36.452,0
29.497,0
20.8,0
33.751,0
35.385,0
35.138,0
32.273,0
30.25,0
36.059,0
30.935,0
35.663,0
35.011,0
26.22,0
31.427,0
26.689,0
32.775,0
32.089,0
26.873,0
33.162,0
36.046,0
34.76,0
28.016,0
32.017,0
36.588,0
34.45,0
36.39,0
24.156,0
33.842,0
30.318,0
27.407,0
35.517,0
25.359,0
33.423,0
28.105,0
29.814,0
32.576,0
29.027,0
34.515,0
35.565,0
32.032,0
31.58,0
30.385,0
28.726,0
33.875,0
35.777,0
27.972,0
36.918,0
33.824,0
36.777,0
34.92,0
28.706,0
33.678,0
26.416,0
36.926,0
23.356,0
34.404,0
32.931,0
30.024,0
32.801,0
35.986,0
28.338,0
32.159,0
28.947,0
35.351,0
35.383,0
29.457,0
34.884,0
34.022,0
32.949,0
34.054,0
36.002,0
34.036,0
31.854,0
30.63,0
28.905,0
34.816,0
36.294,0
31.517,0
29.456,0
32.185,0
33.793,0
35.857,0
30.035,0
30.945,0
24.782,0
32.98,0
35.463,0
29.154,0
30.672,0
35.502,0
32.246,0
34.634,0
33.413,0
35.62,0
29.395,0
22.047,0
36.375,0
19.768,0
31.427,0
33.772,0
33.7,0
28.739,0
24.693,0
35.712,0
36.008,0
23.461,0
30.524,0
34.568,0
32.252,0
31.887,0
21.351,0
34.154,0
33.734,0
34.335,0
33.465,0
36.521,0
31.171,0
27.184,0
36.98,0
27.176,0
35.869,0
32.828,0
35.755,0
36.999,0
31.451,0
35.609,0
36.598,0
32.381,0
34.864,0
35.191,0
35.878,0
20.994,0
34.678,0
36.179,0
32.055,0
23.439,0
26.61,0
33.7,0
34.32,0
27.701,0
30.758,0
27.162,0
35.675,0
36.099,0
35.475,0
28.574,0
28.191,0
33.927,0
30.388,0
31.161,0
28.842,0
24.207,0
35.569,0
35.723,0
36.747,0
33.745,0
31.619,0
33.561,0
34.412,0
33.415,0
27.207,0
28.715,0
26.809,0
35.054,0
29.657,0
34.798,0
28.787,0
35.937,0
23.741,0
34.931,0
34.726,0
34.649,0
