fold,test_person,n_train,n_test,acc_CNN,acc_LSTM,acc_CNN+LSTM,time_sec
1,p00,183557,29951,0.8713565490300824,0.5188808387032152,0.8370672097759674,770.2
2,p01,189375,24133,0.7963784030166162,0.8107156176190279,0.9172502382629595,791.6
3,p02,185499,28009,0.8637580777607198,0.8413724160091399,0.9272019707951016,781.8
4,p03,178443,35065,0.9192071866533581,0.8165407101097961,0.9276486525024954,752.7
5,p04,196687,16821,0.8037572082515902,0.9098745615599548,0.9120147434754177,830.5
6,p05,196941,16567,0.7827609102432547,0.8442083660288525,0.8527796221403996,830.2
7,p06,195070,18438,0.777036554940883,0.8466211085801063,0.7834906172036012,814.3
8,p07,198009,15499,0.8877992128524421,0.8485708755403575,0.904768049551584,830.3
9,p08,202817,10691,0.7572724721728556,0.8497801889439716,0.8323823777008699,837.1
10,p09,205523,7985,0.8189104571070758,0.8959298685034439,0.8949279899812148,841.7
11,p10,210708,2800,0.8717857142857143,0.8421428571428572,0.9160714285714285,863.9
12,p11,210536,2972,0.8593539703903096,0.9172274562584118,0.9041049798115747,886.3
13,p12,211909,1599,0.8255159474671669,0.884302689180738,0.8943089430894309,887.0
14,p13,212020,1488,0.8024193548387096,0.8951612903225806,0.9079301075268817,893.0
15,p14,212018,1490,0.7295302013422819,0.7919463087248322,0.7630872483221477,900.0
